crop,pest_disease,monitoring,prevention,cultural,mechanical,physical,biological,chemical,threshold,source,notes
Groundnut,Tobacco caterpillar,Install sex pheromone traps @ 10-12 traps/ha,Deep summer ploughing to expose pupae to birds and sunlight,Intercrop groundnut with sunflower or castor as trap crop (1:10 ratio),Handpick egg masses and gregarious young larvae; destroy them in kerosene water,Use light traps @ 1 trap/ha to collect and destroy adult moths,Spray Spodoptera NPV @ 250 LE/ha or release Trichogramma chilonis @ 50 000/ha,Spray Chlorpyrifos 20% EC @ 2 mL/L or Novaluron 10% EC @ 1 mL/L if ETL crossed,1 egg mass or 1-2 larvae per meter row,UAS Dharwad / ICAR-DGR / Karnataka PoP,Prioritize trap cropping and egg mass collection before chemical intervention
Groundnut,Groundnut leaf miner,Monitor light traps and inspect 20 plants/field for mines,Crop rotation with non-host crops like cereal/millets,Maintain optimum crop density (30cm x 10cm); avoid drought stress,Handpick and destroy mined leaflets in early stages,Use light traps to attract adult moths during night hours,Apply Bacillus thuringiensis @ 1.5-2.0 g/L water,Spray Quinalphos 25% EC @ 2 mL/L water,1 mine per leaflet or 5-10% leaflet damage,UAS Bengaluru / Karnataka PoP,Do not spray chemical insecticides if natural parasitoid activity is high
Groundnut,Thrips,Inspect 10 young terminal shoots per acre for silvering,Maintain weed-free field bunds; destroy alternate host weeds,Maintain field moisture through timely irrigation to suppress thrips,Use blue sticky traps @ 25 traps/ha for monitoring and mass trapping,Erect blue sticky traps at canopy level,Conserve natural predators like predatory thrips and anthocorid bugs,Spray Imidacloprid 17.8% SL @ 0.3 mL/L water,5 thrips per terminal shoot,UAS Raichur / ICAR,Thrips vector Peanut Bud Necrosis Virus; early management is vital
Groundnut,Early leaf spot,Inspect lower leaves starting 30 days after sowing,"Use certified disease-free seeds; adopt resistant/tolerant varieties (GPBD-4, G2-52)","Remove crop debris after harvest; maintain recommended spacing (30cm x 10cm)",Remove heavily infected lower leaves in early stage,Avoid sprinkler irrigation during evening hours,Seed treatment with Trichoderma viride @ 10 g/kg seed,Spray Mancozeb 75% WP @ 2 g/L or Tebuconazole 25.9% EC @ 1.5 mL/L,1-2 spots per leaf on 10% plants,ICAR-DGR / Karnataka PoP,Combine cultural management with timely fungicide application
Groundnut,Late leaf spot,Monitor crop canopy from 45 DAS onwards,Adopt crop rotation with sorghum or maize for 2 seasons,Avoid dense canopy planting; ensure adequate air circulation,Destroy volunteer groundnut plants and infected haulms,Solarize soil during hot summer months,Apply Pseudomonas fluorescens @ 10 g/L foliar spray,Spray Hexaconazole 5% EC @ 2 mL/L water,5% leaf area affected on lower canopy,Karnataka PoP / UAS Dharwad,Hexaconazole controls both Late Leaf Spot and Rust simultaneously
Paddy,Yellow stem borer,Install pheromone traps @ 20 traps/ha,"Use resistant/tolerant rice varieties; clip leaf tips before transplanting","Optimum field drainage; avoid excessive nitrogenous fertilizers",Handpick egg masses from seedling leaves; destroy egg masses,Use light traps to collect adult moths,"Release Trichogramma japonicum @ 100 000/ha at 7-day intervals (4 releases)",Broadcast Chlorantraniliprole 0.4% GR @ 10 kg/ha in 2-3 cm standing water,2 egg masses/m2 or 5% dead hearts or 2% white ears,ICAR-NRRI / UAS Bengaluru / Karnataka PoP,Clipping leaf tips before transplanting destroys egg masses laid near leaf tips
Paddy,Brown planthopper,Monitor lower stem base of 20 hills randomly,"Adopt wide row planting (20cm x 15cm) with alleyways every 2 meters","Alternate wetting and drying (AWD) irrigation; split nitrogen application",Pass rope over canopy to dislodge planthoppers into water,Use light traps for population monitoring,"Conserve natural enemies: spiders, mirid bugs (Cyrtorhinus), and damselflies",Spray Pymetrozine 50% WDG @ 0.6 g/L or Dinotefuran 20% SG @ 0.4 g/L,5-10 planthoppers per hill during vegetative stage,ICAR-NRRI / Karnataka PoP,Drain standing water immediately upon BPH buildup to break pest multiplication
Paddy,Blast,Inspect nursery and main field leaves weekly,"Use certified seed of blast-resistant varieties (Rasi, KMP-101, TNS-27)","Avoid excess nitrogen application; apply N in 3 split doses with K",Remove collateral weed hosts from field bunds,Avoid evening irrigation that leaves leaves wet overnight,Seed treatment with Pseudomonas fluorescens @ 10 g/kg seed,Spray Tricyclazole 75% WP @ 0.6 g/L or Isoprothiolane 40% EC @ 1.5 mL/L,1% leaf area covered with spindle spots or neck blast initiation,ICAR-NRRI / Karnataka PoP,Tricyclazole is the primary recommendation for neck blast prevention
Maize,Fall armyworm,Install FAW pheromone traps @ 12 traps/ha from germination,"Deep summer ploughing; intercrop maize with cowpea or pigeonpea (4:2)","Clean cultivation; apply sand/soil + neem cake in whorls at 15-20 DAS",Crush egg masses and young larvae in whorl manually,Use light traps to catch adult moths,Whorl application of Metarhizium anisopliae @ 5 g/L or Nomuraea rileyi @ 3 g/L,Whorl spray of Chlorantraniliprole 18.5% SC @ 0.4 mL/L or Spinetoram 11.7% SC @ 0.5 mL/L,5% whorl damage (seedling stage) to 10% whorl damage (mid-stage),ICAR-IIMR / UAS Bengaluru / Karnataka PoP,Direct nozzle straight down into central whorl for effective larval contact
Maize,Turcicum leaf blight,Inspect foliage starting 30 DAS,"Use resistant hybrids; practice crop rotation with pulses or oilseeds","Destroy crop residues post-harvest; maintain balanced NPK nutrition",Remove and burn lower infected leaves at early stage,Ensure proper field drainage and air ventilation,Seed treatment with Trichoderma harzianum @ 10 g/kg seed,Foliar spray of Mancozeb 75% WP @ 2.5 g/L or Azoxystrobin + Difenoconazole @ 1 mL/L,1-2 long elliptical lesions per leaf on 10% plants,ICAR-IIMR / UAS Dharwad,Early removal of infected lower leaves slows upper canopy disease spread
