Date,District,Block,State,Rainfall_mm,Temp_Max_C,Temp_Min_C,RH_Morning_pct,RH_Afternoon_pct,Wind_Speed_kmh,Wind_Direction,Cloud_Cover_Octa,Sky_Condition,Issued_By
2026-08-21,Bagalkote,Bagalkote,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Bagalkote,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Bagalkote,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Bagalkote,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Bagalkote,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Badami,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Badami,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Badami,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Badami,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Badami,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Bilagi,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Bilagi,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Bilagi,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Bilagi,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Bilagi,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Guledgudda,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Guledgudda,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Guledgudda,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Guledgudda,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Guledgudda,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Hungund,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Hungund,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Hungund,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Hungund,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Hungund,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Ilkal,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Ilkal,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Ilkal,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Ilkal,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Ilkal,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Jamkhandi,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Jamkhandi,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Jamkhandi,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Jamkhandi,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Jamkhandi,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Mudhol,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Mudhol,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Mudhol,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Mudhol,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Mudhol,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Bagalkote,Rabkavi Banhatti,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-22,Bagalkote,Rabkavi Banhatti,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-23,Bagalkote,Rabkavi Banhatti,Karnataka,0.0,38.0,22.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-24,Bagalkote,Rabkavi Banhatti,Karnataka,0.0,35.0,23.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-25,Bagalkote,Rabkavi Banhatti,Karnataka,0.0,36.5,24.0,74,38,15,NW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
2026-08-21,Ballari,Ballari,Karnataka,0.0,35.0,24.0,74,38,15,WNW,2,Mainly clear sky with dry weather,IMD New Delhi & Meteorological Centre Bengaluru
