crop,pest_disease,biocontrol_agent,scientific_name,agent_type,target,application_method,dose_or_release_rate,timing,compatibility,source,notes
Groundnut,Tobacco caterpillar,NPV Virus,Spodoptera litura NPV (SltNPV),Entomopathogenic Virus,Larvae,Foliar spray,250 LE/ha (or 1.5 mL/L),Spray in late evening,Incompatible with synthetic pyrethroids,ICAR-DGR / UAS Dharwad,Mix with 0.1% crude sugar or jaggery as feeding stimulant
Groundnut,Tobacco caterpillar,Trichogramma,Trichogramma chilonis,Egg Parasitoid,Egg masses,Egg card release,50 000/ha (5 cards/ha),At egg laying phase,Avoid chemical sprays for 7 days post release,TNAU / ICAR,Release at 7-10 day intervals during peak moth activity
Groundnut,Groundnut leaf miner,Bacillus thuringiensis,Bacillus thuringiensis var. kurstaki,Entomopathogenic Bacteria,Young larvae,Foliar spray,1.5-2.0 g/L water,At early instar mining symptoms,Compatible with bio-pesticides,UAS Bengaluru,Apply when mines first appear on leaflets
Groundnut,Stem rot,Trichoderma viride,Trichoderma viride 1% WP,Antagonistic Fungus,Sclerotium rolfsii fungal pathogen,Soil application / Seed treatment,10 g/kg seed or 5 kg/ha in FYM,At sowing with organic manure,Do not mix with chemical fungicides,ICAR-DGR / Karnataka PoP,Mix 5 kg Trichoderma in 500 kg FYM and incubate 10 days before soil application
Groundnut,Collar rot,Pseudomonas fluorescens,Pseudomonas fluorescens 1% WP,Antagonistic Bacteria,Aspergillus niger,Seed treatment / Soil drench,10 g/kg seed or 2.5 kg/ha,Before sowing,Compatible with Trichoderma,UAS Dharwad,Promotes root growth and induces systemic resistance
Paddy,Yellow stem borer,Trichogramma japonicum,Trichogramma japonicum,Egg Parasitoid,Stem borer eggs,Egg card release,100 000/ha (10 cards/ha),"Release starting 30 DAT, 3-4 times at weekly intervals",Avoid chemical insecticides during release period,ICAR-NRRI / Karnataka PoP,Staple egg cards on lower leaf blades across field
Paddy,Leaf folder,Trichogramma chilonis,Trichogramma chilonis,Egg Parasitoid,Leaf folder eggs,Egg card release,100 000/ha (10 cards/ha),At early moth sighting,Avoid chemical sprays,UAS Dharwad,Effective biological control agent for paddy leaf folder
Paddy,Brown planthopper,Mirid Bug,Cyrtorhinus lividipennis,Predatory Bug,Nymphs and adults,Natural conservation / augmentative release,50-100 bugs/m2,During early tillering stage,Avoid broad spectrum chemical sprays,ICAR-NRRI,Mirid bug consumes 10-20 BPH eggs/nymphs per day
Paddy,Blast,Pseudomonas fluorescens,Pseudomonas fluorescens 1% WP,Antagonistic Bacteria,Magnaporthe oryzae,Seed treatment & Foliar spray,10 g/kg seed + 10 g/L foliar spray,30 DAT and 45 DAT,"Compatible with Trichoderma; incompatible with bactericides",Karnataka PoP / UAS Bengaluru,Effective bio-fungicide reducing leaf and neck blast severity
Paddy,Sheath blight,Trichoderma harzianum,Trichoderma harzianum 1% WP,Antagonistic Fungus,Rhizoctonia solani,Soil application & Foliar spray,2.5 kg/ha in FYM + 5 g/L spray,At tiller initiation stage,Do not mix with chemical fungicides,ICAR-NRRI,Substantially reduces sheath lesion spreading
Maize,Fall armyworm,Metarhizium anisopliae,Metarhizium anisopliae (1x10^8 CFU/g),Entomopathogenic Fungus,Larvae,Foliar whorl spray,5 g/L water,At early instar whorl damage,Do not mix with chemical fungicides,ICAR-IIMR / UAS Bengaluru,High humidity during application enhances fungal spore germination
Maize,Fall armyworm,Nomuraea rileyi,Nomuraea rileyi (1x10^8 CFU/g),Entomopathogenic Fungus,Larvae,Foliar spray,3-5 g/L water,Evening spray at early instar stage,Do not mix with synthetic fungicides,UAS Dharwad / ICAR,Naturally causes white muscardine disease in caterpillars
Maize,Fall armyworm,Trichogramma pretiosum,Trichogramma pretiosum,Egg Parasitoid,FAW eggs,Egg card release,50 000/ha,Weekly releases starting 10 DAS,Avoid chemical insecticides,ICAR-IIMR,Target egg masses laid on leaves
Maize,Downy mildew,Trichoderma viride,Trichoderma viride,Antagonistic Fungus,Peronosclerospora sorghi,Seed treatment,10 g/kg seed,Before sowing,Incompatible with chemical fungicides,Karnataka PoP,Suppresses oospore germination in soil
Arecanut,Mahali kolerogo fruit rot,Trichoderma harzianum,Trichoderma harzianum,Antagonistic Fungus,Phytophthora meadii,Crown application / Bio-block,100 g bio-block per palm crown,Pre-monsoon (May),"Do not mix with Copper Oxychloride / Bordeaux",CPCRI / KSNUAHS Shivamogga,Place Trichoderma-coir pith blocks in palm leaf axils
Arecanut,Foot rot or Anabe roga,Trichoderma viride,Trichoderma viride,Antagonistic Fungus,Ganoderma lucidum,Soil drench / FYM enrichment,25 g/palm enriched in 5 kg FYM,Pre-monsoon and post-monsoon,Do not mix with chemical fungicides,CPCRI Kasaragod,Apply around base of palm after trenching
Arecanut,Root grub,Metarhizium anisopliae,Metarhizium anisopliae,Entomopathogenic Fungus,Grub larvae in soil,Soil incorporation,5 kg/ha (mixed with organic manure),At onset of rainy season around palm base,"Incompatible with chemical insecticides/fungicides",CPCRI / KSNUAHS Shivamogga,Infects grubs causing green muscardine disease
Arecanut,Mites,Phytoseiid Mites,Amblyseius ovalis,Predatory Mite,Phytophagous mites,Augmentative release,10-20 mites/palm,During summer dry period,Avoid sulphur sprays for 14 days after release,CPCRI,Natural biological enemy of red spider mites in arecanut
