crop,pest_disease,active_ingredient,formulation,dose,water_volume,application_method,timing,repeat_interval,waiting_period,source,source_year,region,approval_status,notes
Groundnut,Tobacco caterpillar,Chlorpyrifos,20% EC,2.0 mL/L water,500 L/ha,Foliar spray,At early instar damage notice,10-14 days,15 days,UAS Dharwad / Karnataka PoP,2026,Karnataka,Approved,Spray during early evening hours when larvae are active
Groundnut,Tobacco caterpillar,Novaluron,10% EC,1.0 mL/L water,500 L/ha,Foliar spray,At egg hatch / early instars,14 days,14 days,ICAR-DGR / TNAU,2026,Karnataka,Approved,Insect growth regulator effective against young larvae
Groundnut,Groundnut leaf miner,Quinalphos,25% EC,2.0 mL/L water,500 L/ha,Foliar spray,When 1 miner/leaf or 5-10% leaflet damage,10 days,12 days,UAS Bengaluru / Karnataka PoP,2026,Karnataka,Approved,Avoid spraying if natural parasitoids like Sympiesis are abundant
Groundnut,Thrips,Imidacloprid,17.8% SL,0.3 mL/L water,500 L/ha,Foliar spray,At initial infestation or vector surge,14 days,21 days,UAS Raichur / Karnataka PoP,2026,Karnataka,Approved,Systemic insecticide to prevent Bud Necrosis Virus vectoring
Groundnut,Aphids,Dimethoate,30% EC,1.7 mL/L water,500 L/ha,Foliar spray,When 10% plants show aphids,10-12 days,14 days,TNAU Agritech / ICAR,2026,Karnataka,Approved,Target underside of leaves where aphid colonies form
Groundnut,Red hairy caterpillar,Quinalphos,1.5% DP,25 kg/ha,N/A,Dusting,Early morning when dew is on leaves,7-10 days,10 days,Karnataka PoP / UAS Dharwad,2026,Karnataka,Approved,Dusting in early instars before caterpillars migrate
Groundnut,White grub,Phorate,10% CG,25 kg/ha,N/A,Soil application,At sowing or first monsoon showers,Single application,30 days,UAS Bengaluru,2026,Karnataka,Approved,Apply in soil around root zone and irrigate immediately
Groundnut,Early leaf spot,Mancozeb,75% WP,2.0 g/L water,500 L/ha,Foliar spray,At first appearance of spots (30-35 DAS),12-15 days,14 days,ICAR-DGR / Karnataka PoP,2026,Karnataka,Approved,Ensure complete coverage of upper and lower leaf surfaces
Groundnut,Early leaf spot,Tebuconazole,25.9% EC,1.5 mL/L water,500 L/ha,Foliar spray,At early disease onset,14 days,21 days,UAS Dharwad,2026,Karnataka,Approved,Systemic triazole fungicide with protective and curative action
Groundnut,Late leaf spot,Hexaconazole,5% EC,2.0 mL/L water,500 L/ha,Foliar spray,At first symptom onset (45-50 DAS),14 days,20 days,Karnataka PoP / UAS Raichur,2026,Karnataka,Approved,Effective against both Late Leaf Spot and Rust
Groundnut,Rust,Wettable Sulphur,80% WP,3.0 g/L water,500 L/ha,Foliar spray,When pustules appear on lower leaf surface,10-14 days,14 days,ICAR-DGR,2026,Karnataka,Approved,Provides additional mite control
Groundnut,Stem rot,Tebuconazole 50% + Trifloxystrobin 25% WG,75% WG,0.7 g/L water,500 L/ha,Stem drenching,At early stem brown lesion stage,14 days,21 days,UAS Bengaluru,2026,Karnataka,Approved,Direct spray towards crown/collar region of plant
Groundnut,Collar rot,Carbendazim 12% + Mancozeb 63% WP,75% WP,2.0 g/kg seed,N/A,Seed treatment,Before sowing,Single application,N/A,Karnataka PoP,2026,Karnataka,Approved,Dry seed treatment before planting
Paddy,Yellow stem borer,Chlorantraniliprole,0.4% GR,10 kg/ha,N/A,Soil application,At 15-20 DAT or early dead heart stage,Single application,20 days,UAS Bengaluru / ICAR-NRRI,2026,Karnataka,Approved,Broadcast in 2-3 cm standing water
Paddy,Yellow stem borer,Cartap Hydrochloride,50% SP,2.0 g/L water,500 L/ha,Foliar spray,When dead heart exceeds 5% or white ear 2%,12 days,21 days,Karnataka PoP,2026,Karnataka,Approved,Effective systemic insecticide
Paddy,Leaf folder,Flubendiamide,39.35% SC,0.2 mL/L water,500 L/ha,Foliar spray,When 1-2 folded leaves per hill observed,14 days,20 days,UAS Dharwad / ICAR,2026,Karnataka,Approved,Target larvae folded inside leaves
Paddy,Brown planthopper,Pymetrozine,50% WDG,0.6 g/L water,500 L/ha,Foliar spray,Direct spray at base of plant (5-10 BPH/hill),10 days,19 days,ICAR-NRRI / Karnataka PoP,2026,Karnataka,Approved,Spray towards lower stem base; avoid excess nitrogen fertilisation
Paddy,Brown planthopper,Dinotefuran,20% SG,0.4 g/L water,500 L/ha,Foliar spray,At initial ETL breach,12 days,21 days,UAS Raichur,2026,Karnataka,Approved,Fast knockdown action on nymphs and adults
Paddy,Rice hispa,Chlorpyrifos,20% EC,2.0 mL/L water,500 L/ha,Foliar spray,When 1 grub or adult per leaf observed,10 days,15 days,Karnataka PoP,2026,Karnataka,Approved,Clip leaf tips before transplanting if infested
Paddy,Gundhi bug,Malathion,5% DP,25 kg/ha,N/A,Dusting,At milk stage during early morning hours,7-10 days,10 days,UAS Shivamogga / Karnataka PoP,2026,Karnataka,Approved,Dusting during flowering/milking stage
